RiverMeter,RiverKM,Elevation,Easting,Northing,Year,,,,,,,,,,,,
12432,12.432,5.342,642363.935,4242425.846,2013,,,,,,,,,,,,
12430,12.43,5.338,642363.941,4242423.648,2013,,,,,,,,,,,,
12428,12.428,5.344,642364.206,4242421.427,2013,,,,,,,,,,,,
12425,12.425,5.374,642364.850,4242419.058,2013,,,,,,,,,,,,
12424,12.424,5.379,642365.804,4242416.686,2013,,,,,,,,,,,,
12422,12.422,5.375,642366.704,4242413.987,2013,,,,,,,,,,,,
12420,12.42,5.41,642367.650,4242411.703,2013,,,,,,,,,,,,
12418,12.418,5.326,642368.882,4242409.717,2013,,,,,,,,,,,,
12416,12.416,5.379,642370.139,4242407.939,2013,,,,,,,,,,,,
12413,12.413,5.319,642372.276,4242405.922,2013,,,,,,,,,,,,
12410,12.41,5.243,642373.721,4242403.895,2013,,,,,,,,,,,,
12408,12.408,5.177,642374.887,4242401.721,2013,,,,,,,,,,,,
12406,12.406,5.143,642376.120,4242399.693,2013,,,,,,,,,,,,
12404,12.404,5.238,642377.695,4242397.784,2013,,,,,,,,,,,,
12401,12.401,5.186,642379.463,4242395.818,2013,,,,,,,,,,,,
12399,12.399,5.219,642381.032,4242394.311,2013,,,,,,,,,,,,
12396,12.396,5.316,642382.843,4242392.500,2013,,,,,,,,,,,,
12394,12.394,5.359,642384.766,4242390.808,2013,,,,,,,,,,,,
12391,12.391,5.389,642386.709,4242388.844,2013,,,,,,,,,,,,
12389,12.389,5.376,642388.658,4242387.043,2013,,,,,,,,,,,,
12386,12.386,5.355,642390.556,4242384.907,2013,,,,,,,,,,,,
12384,12.384,5.327,642392.635,4242383.764,2013,,,,,,,,,,,,
12381,12.381,5.425,642394.911,4242382.185,2013,,,,,,,,,,,,
12379,12.379,5.362,642396.990,4242380.696,2013,,,,,,,,,,,,
12376,12.376,5.304,642398.865,4242379.106,2013,,,,,,,,,,,,
12374,12.374,5.316,642400.880,4242377.018,2013,,,,,,,,,,,,
12371,12.371,5.332,642402.104,4242375.111,2013,,,,,,,,,,,,
12369,12.369,5.316,642403.475,4242372.819,2013,,,,,,,,,,,,
12366,12.366,5.359,642404.800,4242370.481,2013,,,,,,,,,,,,
12364,12.364,5.346,642405.985,4242368.324,2013,,,,,,,,,,,,
12361,12.361,5.34,642407.323,4242366.328,2013,,,,,,,,,,,,
12359,12.359,5.328,642408.770,4242364.130,2013,,,,,,,,,,,,
12357,12.357,5.334,642409.923,4242362.356,2013,,,,,,,,,,,,
12354,12.354,5.309,642411.105,4242360.459,2013,,,,,,,,,,,,
12352,12.352,5.293,642412.292,4242358.421,2013,,,,,,,,,,,,
12349,12.349,5.299,642413.492,4242356.242,2013,,,,,,,,,,,,
12347,12.347,5.305,642414.562,4242354.124,2013,,,,,,,,,,,,
12345,12.345,5.323,642415.830,4242351.849,2013,,,,,,,,,,,,
12342,12.342,5.322,642417.087,4242349.488,2013,,,,,,,,,,,,
12339,12.339,5.3,642418.442,4242347.225,2013,,,,,,,,,,,,
12336,12.336,5.297,642420.128,4242344.642,2013,,,,,,,,,,,,
12333,12.333,5.291,642421.727,4242342.178,2013,,,,,,,,,,,,
12331,12.331,5.3,642423.108,4242340.157,2013,,,,,,,,,,,,
12329,12.329,5.28,642424.622,4242337.839,2013,,,,,,,,,,,,
12326,12.326,5.244,642426.078,4242335.515,2013,,,,,,,,,,,,
12323,12.323,5.263,642427.299,4242332.955,2013,,,,,,,,,,,,
12320,12.32,5.274,642428.163,4242330.455,2013,,,,,,,,,,,,
12318,12.318,5.245,642428.661,4242327.913,2013,,,,,,,,,,,,
12316,12.316,5.282,642429.395,4242325.410,2013,,,,,,,,,,,,
12313,12.313,5.218,642430.187,4242322.966,2013,,,,,,,,,,,,
12311,12.311,5.17,642430.808,4242320.676,2013,,,,,,,,,,,,
12309,12.309,5.168,642431.274,4242318.522,2013,,,,,,,,,,,,
12306,12.306,5.191,642431.275,4242315.883,2013,,,,,,,,,,,,
12304,12.304,5.213,642431.379,4242313.260,2013,,,,,,,,,,,,
12302,12.302,5.189,642431.493,4242310.792,2013,,,,,,,,,,,,
12299,12.299,5.213,642431.506,4242308.266,2013,,,,,,,,,,,,
12297,12.297,5.255,642431.651,4242306.086,2013,,,,,,,,,,,,
12295,12.295,5.246,642432.039,4242303.725,2013,,,,,,,,,,,,
12292,12.292,5.24,642432.396,4242301.021,2013,,,,,,,,,,,,
12289,12.289,5.259,642432.655,4242298.321,2013,,,,,,,,,,,,
12287,12.287,5.283,642432.826,4242295.535,2013,,,,,,,,,,,,
12284,12.284,5.301,642433.092,4242292.790,2013,,,,,,,,,,,,
12281,12.281,5.294,642433.299,4242289.912,2013,,,,,,,,,,,,
12279,12.279,5.225,642433.631,4242287.294,2013,,,,,,,,,,,,
12276,12.276,5.185,642433.945,4242284.902,2013,,,,,,,,,,,,
12275,12.275,5.213,642434.191,4242282.439,2013,,,,,,,,,,,,
12272,12.272,5.177,642434.438,4242279.688,2013,,,,,,,,,,,,
12270,12.27,5.243,642435.927,4242276.901,2013,,,,,,,,,,,,
12268,12.268,5.148,642436.539,4242274.944,2013,,,,,,,,,,,,
12265,12.265,5.114,642436.172,4242272.623,2013,,,,,,,,,,,,
12263,12.263,5.084,642435.816,4242270.354,2013,,,,,,,,,,,,
12262,12.262,5.05,642435.103,4242268.056,2013,,,,,,,,,,,,
12260,12.26,5.166,642434.230,4242265.302,2013,,,,,,,,,,,,
12257,12.257,5.285,642433.036,4242262.612,2013,,,,,,,,,,,,
12254,12.254,5.189,642432.348,4242260.237,2013,,,,,,,,,,,,
12252,12.252,5.136,642431.730,4242257.720,2013,,,,,,,,,,,,
12249,12.249,5.137,642430.663,4242255.291,2013,,,,,,,,,,,,
12247,12.247,5.031,642428.483,4242253.317,2013,,,,,,,,,,,,
12245,12.245,5.029,642426.474,4242251.586,2013,,,,,,,,,,,,
12242,12.242,5.046,642424.526,4242249.588,2013,,,,,,,,,,,,
12240,12.24,5.161,642423.493,4242247.664,2013,,,,,,,,,,,,
12237,12.237,5.093,642422.881,4242244.748,2013,,,,,,,,,,,,
12234,12.234,5.001,642421.447,4242242.517,2013,,,,,,,,,,,,
12232,12.232,4.968,642419.890,4242240.369,2013,,,,,,,,,,,,
12230,12.23,5.051,642418.364,4242238.065,2013,,,,,,,,,,,,
12227,12.227,5.143,642417.047,4242235.905,2013,,,,,,,,,,,,
12225,12.225,5.201,642415.658,4242233.886,2013,,,,,,,,,,,,
12222,12.222,5.193,642414.410,4242231.599,2013,,,,,,,,,,,,
12220,12.22,5.167,642413.279,4242229.404,2013,,,,,,,,,,,,
12218,12.218,5.097,642411.494,4242227.790,2013,,,,,,,,,,,,
12215,12.215,5.03,642409.218,4242226.244,2013,,,,,,,,,,,,
12213,12.213,5.034,642407.143,4242224.935,2013,,,,,,,,,,,,
12211,12.211,4.945,642405.652,4242223.019,2013,,,,,,,,,,,,
12208,12.208,4.891,642404.036,4242220.758,2013,,,,,,,,,,,,
12206,12.206,5.006,642402.624,4242218.865,2013,,,,,,,,,,,,
12203,12.203,5.041,642400.676,4242217.173,2013,,,,,,,,,,,,
12201,12.201,5.046,642399.047,4242215.489,2013,,,,,,,,,,,,
12198,12.198,5.035,642397.288,4242213.816,2013,,,,,,,,,,,,
12196,12.196,5.049,642395.711,4242212.112,2013,,,,,,,,,,,,
12193,12.193,5.103,642394.087,4242210.183,2013,,,,,,,,,,,,
12190,12.19,5.124,642392.328,4242207.974,2013,,,,,,,,,,,,
